seconds	V	A	mAh
15690	4.06	0.99	3931.53
15720	4.07	0.98	3939.69
15750	4.07	0.98	3947.86
15780	4.07	0.98	3956.03
15810	4.07	0.98	3964.19
15840	4.07	0.99	3972.44
15870	4.07	0.99	3980.69
15900	4.08	0.98	3988.86
15930	4.08	0.98	3997.03
15960	4.08	0.99	4005.28
15990	4.08	0.99	4013.53
16020	4.09	0.98	4021.69
16050	4.09	0.98	4029.86
16080	4.09	0.99	4038.11
16110	4.09	0.99	4046.36
16140	4.09	0.98	4054.53
16170	4.10	0.98	4062.69
16200	4.10	0.98	4070.86
16230	4.10	0.99	4079.11
16260	4.10	0.98	4087.28
16290	4.10	0.99	4095.53
16320	4.10	0.98	4103.69
16350	4.10	0.98	4111.86
16380	4.11	0.98	4120.03
16410	4.11	0.98	4128.19
16440	4.11	0.99	4136.44
16470	4.11	0.98	4144.61
16500	4.11	0.98	4152.78
16530	4.11	0.98	4160.94
16560	4.11	0.98	4169.11
16590	4.12	0.98	4177.28
16620	4.12	0.98	4185.44
16650	4.12	0.98	4193.61
16680	4.12	0.99	4201.86
16710	4.12	0.98	4210.03
16740	4.13	0.98	4218.19
16770	4.13	0.98	4226.36
16800	4.13	0.98	4234.53
16830	4.13	0.98	4242.69
16860	4.13	0.98	4250.86
16890	4.13	0.98	4259.03
16920	4.13	0.98	4267.19
16950	4.13	0.98	4275.36
16980	4.14	0.98	4283.53
17010	4.14	0.99	4291.78
17040	4.14	0.99	4300.03
17070	4.14	0.98	4308.19
17100	4.14	0.99	4316.44
17130	4.14	0.98	4324.61
17160	4.14	0.99	4332.86
17190	4.14	0.98	4341.03
17220	4.15	0.98	4349.19
17250	4.15	0.99	4357.44
17280	4.15	0.98	4365.61
17310	4.15	0.98	4373.78
17340	4.15	0.98	4381.94
17370	4.15	0.98	4390.11
17400	4.15	0.99	4398.36
17430	4.15	0.98	4406.53
17460	4.15	0.98	4414.69
17490	4.15	0.98	4422.86
17520	4.15	0.98	4431.03
17550	4.16	0.99	4439.28
17580	4.16	0.98	4447.44
17610	4.16	0.99	4455.69
17640	4.16	0.97	4463.78
17670	4.16	0.96	4471.78
17700	4.16	0.97	4479.86
17730	4.16	0.96	4487.86
17760	4.16	0.97	4495.94
17790	4.16	0.95	4503.86
17820	4.16	0.96	4511.86
17850	4.16	0.94	4519.69
17880	4.16	0.95	4527.61
17910	4.16	0.94	4535.44
17940	4.16	0.92	4543.11
17970	4.16	0.94	4550.94
18000	4.16	0.92	4558.61
18030	4.16	0.91	4566.19
18060	4.16	0.89	4573.61
18090	4.16	0.90	4581.11
18120	4.16	0.90	4588.61
18150	4.16	0.88	4595.94
18180	4.16	0.87	4603.19
18210	4.16	0.88	4610.53
18240	4.16	0.85	4617.61
18270	4.16	0.88	4624.94
18300	4.16	0.86	4632.11
18330	4.16	0.84	4639.11
18360	4.16	0.85	4646.19
18390	4.16	0.84	4653.19
18420	4.16	0.83	4660.11
18450	4.16	0.83	4667.03
18480	4.16	0.82	4673.86
18510	4.17	0.83	4680.78
18540	4.17	0.81	4687.53
18570	4.17	0.80	4694.19
18600	4.17	0.81	4700.94
18630	4.17	0.79	4707.53
18660	4.17	0.79	4714.11
18690	4.17	0.77	4720.53
18720	4.17	0.78	4727.03
18750	4.17	0.77	4733.44
18780	4.17	0.75	4739.69
18810	4.17	0.75	4745.94
18840	4.17	0.74	4752.11
18870	4.17	0.74	4758.28
18900	4.17	0.74	4764.44
18930	4.17	0.72	4770.44
18960	4.17	0.71	4776.36
18990	4.17	0.70	4782.19
19020	4.17	0.69	4787.94
19050	4.17	0.68	4793.61
19080	4.17	0.67	4799.19
19110	4.17	0.66	4804.69
19140	4.17	0.65	4810.11
19170	4.17	0.65	4815.53
19200	4.17	0.64	4820.86
19230	4.18	0.64	4826.19
19260	4.18	0.64	4831.53
19290	4.18	0.63	4836.78
19320	4.18	0.62	4841.94
19350	4.18	0.60	4846.94
19380	4.18	0.60	4851.94
19410	4.18	0.59	4856.86
19440	4.18	0.58	4861.69
19470	4.18	0.56	4866.36
19500	4.18	0.55	4870.94
19530	4.18	0.54	4875.44
19560	4.18	0.52	4879.78
19590	4.18	0.53	4884.19
19620	4.18	0.51	4888.44
19650	4.18	0.49	4892.53
19680	4.18	0.48	4896.53
19710	4.18	0.47	4900.44
19740	4.18	0.46	4904.28
19770	4.18	0.46	4908.11
19800	4.18	0.46	4911.94
19830	4.18	0.45	4915.69
19860	4.18	0.44	4919.36
19890	4.18	0.43	4922.94
19920	4.18	0.42	4926.44
19950	4.18	0.41	4929.86
19980	4.18	0.41	4933.28
20010	4.18	0.39	4936.53
20040	4.18	0.38	4939.69
20070	4.18	0.37	4942.78
20100	4.18	0.37	4945.86
20130	4.18	0.36	4948.86
20160	4.18	0.35	4951.78
20190	4.18	0.35	4954.69
20220	4.18	0.35	4957.61
20250	4.19	0.35	4960.53
20280	4.18	0.32	4963.19
20310	4.19	0.33	4965.94
20340	4.19	0.32	4968.61
20370	4.19	0.31	4971.19
20400	4.19	0.30	4973.69
20430	4.19	0.28	4976.03
20460	4.19	0.28	4978.36
20490	4.19	0.27	4980.61
20520	4.19	0.26	4982.78
20550	4.19	0.27	4985.03
20580	4.19	0.28	4987.36
20610	4.19	0.26	4989.53
20640	4.19	0.26	4991.69
20670	4.19	0.25	4993.78
20700	4.19	0.25	4995.86
20730	4.19	0.24	4997.86
20760	4.19	0.23	4999.78
20790	4.19	0.22	5001.61
20820	4.19	0.23	5003.53
20850	4.19	0.22	5005.36
20880	4.19	0.22	5007.19
20910	4.19	0.21	5008.94
20940	4.19	0.20	5010.61
20970	4.19	0.20	5012.28
21000	4.19	0.20	5013.94
21030	4.19	0.20	5015.61
21060	4.19	0.18	5017.11
21090	4.19	0.17	5018.53
21120	4.19	0.17	5019.94
21150	4.19	0.18	5021.44
21180	4.19	0.17	5022.86
21210	4.19	0.17	5024.28
21240	4.19	0.15	5025.53
21270	4.19	0.13	5026.61
21300	4.19	0.16	5027.94
21330	4.19	0.14	5029.11
21360	4.19	0.14	5030.28
21390	4.19	0.13	5031.36
21420	4.19	0.14	5032.53
21450	4.19	0.15	5033.78
21480	4.19	0.13	5034.86
21510	4.19	0.14	5036.03
21540	4.19	0.13	5037.11
21570	4.19	0.11	5038.03
21600	4.19	0.13	5039.11
21630	4.19	0.12	5040.11
21646	4.20	0.00	5040.11
21650	4.19	0.00	0.00
21660	4.12	1.03	2.86
21690	4.11	1.02	11.36
21720	4.10	1.02	19.86
21750	4.09	1.02	28.36
21780	4.09	1.02	36.86
21810	4.08	1.02	45.36
21840	4.08	1.01	53.78
21870	4.08	1.01	62.19
21900	4.07	1.01	70.61
21930	4.07	1.01	79.03
21960	4.07	1.01	87.44
21990	4.06	1.01	95.86
22020	4.06	1.01	104.28
22050	4.06	1.01	112.69
22080	4.06	1.01	121.11
22110	4.06	1.01	129.53
22140	4.05	1.01	137.94
22170	4.05	1.01	146.36
22200	4.05	1.01	154.78
22230	4.05	1.01	163.19
22260	4.04	1.01	171.61
22290	4.04	1.01	180.03
22320	4.04	1.01	188.44
22350	4.04	1.01	196.86
22380	4.04	1.00	205.19
22410	4.04	1.00	213.53
22440	4.04	1.00	221.86
22470	4.03	1.00	230.19
22500	4.03	1.00	238.53
22530	4.03	1.00	246.86
22560	4.03	1.00	255.19
22590	4.03	1.00	263.53
22620	4.03	1.00	271.86
22650	4.03	1.00	280.19
22680	4.03	1.00	288.53
22710	4.03	1.00	296.86
22740	4.03	1.00	305.19
22770	4.03	1.00	313.53
22800	4.02	1.00	321.86
22830	4.02	1.00	330.19
22860	4.02	1.00	338.53
22890	4.02	1.00	346.86
22920	4.02	1.00	355.19
22950	4.02	1.00	363.53
22980	4.02	1.00	371.86
23010	4.02	1.00	380.19
23040	4.02	1.00	388.53
23070	4.02	1.00	396.86
23100	4.02	1.00	405.19
23130	4.02	1.00	413.53
23160	4.02	1.00	421.86
23190	4.02	1.00	430.19
23220	4.01	1.00	438.53
23250	4.01	1.00	446.86
23280	4.01	1.00	455.19
23310	4.01	1.00	463.53
23340	4.01	1.00	471.86
23370	4.01	1.00	480.19
23400	4.01	1.00	488.53
23430	4.01	1.00	496.86
23460	4.01	1.00	505.19
23490	4.01	1.00	513.53
23520	4.01	1.00	521.86
23550	4.01	1.00	530.19
23580	4.01	1.00	538.53
23610	4.01	1.00	546.86
23640	4.01	1.00	555.19
23670	4.01	1.00	563.53
23700	4.00	1.00	571.86
23730	4.00	1.00	580.19
23760	4.00	1.00	588.53
23790	4.00	1.00	596.86
23820	4.00	1.00	605.19
23850	4.00	1.00	613.53
23880	4.00	1.00	621.86
23910	4.00	0.99	630.11
23940	4.00	0.99	638.36
23970	4.00	0.99	646.61
24000	4.00	0.99	654.86
24030	3.99	0.99	663.11
24060	3.99	0.99	671.36
24090	3.99	0.99	679.61
24120	3.99	0.99	687.86
24150	3.99	0.99	696.11
24180	3.99	0.99	704.36
24210	3.99	0.99	712.61
24240	3.99	0.99	720.86
24270	3.99	0.99	729.11
24300	3.99	0.99	737.36
24330	3.98	0.99	745.61
24360	3.98	0.99	753.86
24390	3.98	0.99	762.11
24420	3.98	0.99	770.36
24450	3.98	0.99	778.61
24480	3.98	0.99	786.86
24510	3.98	0.99	795.11
24540	3.98	0.99	803.36
24570	3.97	0.99	811.61
24600	3.97	0.99	819.86
24630	3.97	0.99	828.11
24660	3.97	0.99	836.36
24690	3.97	0.99	844.61
24720	3.97	0.99	852.86
24750	3.96	0.99	861.11
24780	3.96	0.99	869.36
24810	3.96	0.99	877.61
24840	3.96	0.98	885.78
24870	3.96	0.98	893.94
24900	3.95	0.98	902.11
24930	3.95	0.98	910.28
24960	3.95	0.98	918.44
24990	3.95	0.98	926.61
25020	3.95	0.98	934.78
25050	3.94	0.98	942.94
25080	3.94	0.98	951.11
25110	3.94	0.98	959.28
25140	3.94	0.98	967.44
25170	3.93	0.98	975.61
25200	3.93	0.98	983.78
25230	3.93	0.98	991.94
25260	3.93	0.98	1000.11
25290	3.93	0.98	1008.28
25320	3.92	0.98	1016.44
25350	3.92	0.98	1024.61
25380	3.92	0.98	1032.78
25410	3.92	0.97	1040.86
25440	3.92	0.97	1048.94
25470	3.92	0.97	1057.03
25500	3.91	0.97	1065.11
25530	3.91	0.97	1073.19
25560	3.91	0.97	1081.28
25590	3.91	0.97	1089.36
25620	3.90	0.97	1097.44
25650	3.90	0.97	1105.53
25680	3.90	0.97	1113.61
25710	3.89	0.97	1121.69
25740	3.89	0.97	1129.78
25770	3.89	0.97	1137.86
25800	3.89	0.97	1145.94
25830	3.89	0.97	1154.03
25860	3.88	0.97	1162.11
25890	3.88	0.97	1170.19
25920	3.88	0.96	1178.19
25950	3.88	0.96	1186.19
25980	3.88	0.96	1194.19
26010	3.87	0.96	1202.19
26040	3.87	0.96	1210.19
26070	3.87	0.96	1218.19
26100	3.86	0.96	1226.19
26130	3.86	0.96	1234.19
26160	3.86	0.96	1242.19
26190	3.86	0.96	1250.19
26220	3.86	0.96	1258.19
26250	3.86	0.96	1266.19
26280	3.85	0.96	1274.19
26310	3.85	0.96	1282.19
26340	3.85	0.96	1290.19
26370	3.85	0.96	1298.19
26400	3.85	0.96	1306.19
26430	3.84	0.96	1314.19
26460	3.84	0.96	1322.19
26490	3.84	0.96	1330.19
26520	3.84	0.96	1338.19
26550	3.84	0.95	1346.11
26580	3.84	0.95	1354.03
26610	3.83	0.95	1361.94
